Datum;Zeit;Artnr;Preis;Name
25.02.2022;12:00:03;70027;1629;12GB KFA2 GeForce RTX 3080 Ti SG (1-Click OC) Aktiv PCIe 4.0 x16 (Retail)
25.02.2022;18:00:03;70027;1629;12GB KFA2 GeForce RTX 3080 Ti SG (1-Click OC) Aktiv PCIe 4.0 x16 (Retail)
26.02.2022;08:00:02;70027;1629;12GB KFA2 GeForce RTX 3080 Ti SG (1-Click OC) Aktiv PCIe 4.0 x16 (Retail)
24.01.2022;19:58:22;70031;1939;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
25.01.2022;18:00:03;70031;1899;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
03.02.2022;18:00:07;70031;1829;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
04.02.2022;08:00:03;70031;1829;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
04.02.2022;12:00:05;70031;1829;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
04.02.2022;18:00:04;70031;1829;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
05.02.2022;08:00:04;70031;1829;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
05.02.2022;12:00:04;70031;1819;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
05.02.2022;18:00:03;70031;1819;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
06.02.2022;08:00:04;70031;1819;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
06.02.2022;12:00:03;70031;1819;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
06.02.2022;18:00:04;70031;1819;12GB MSI GeForce RTX 3080 Ti GAMING X TRIO Aktiv PCIe 4.0 x16)
